transcript,formatted.address,lat.coord,lon.coord,place,sign,place_name,district,nafa,natural_area_class,municipla_class,metropolitan_class,religion,total_population,jews and others,jews,arabs,est_year,settlement_method,organizational_association,coordinates,hight,planning_commetee,police,transcript_pub,שדה לקישור
BET RIMMON,"Beit Rimon, Israel",32.781845,35.327738,בית רימון,1162,בית רימון,2,23,237,3,NA,1,656,0.7,0.7,NA,1977,330,3,2310774302,396,206,1410,Bet Rimmon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1162
BET SHE'ARIM,"Bet She'arim National Park, Kiryat Tiv'on, Israel",32.703757,35.129933,בית שערים,248,בית שערים,2,23,235,9,NA,1,762,0.8,0.8,NA,1936,310,1,2169973357,74,254,1440,Bet She'arim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=248
BET SHIQMA,"Beit Shikma, Israel",31.637735,34.610074,בית שקמה,747,בית שקמה,6,61,614,36,NA,1,859,0.9,0.8,NA,1950,310,1,1628461632,53,633,3840,Bet Shiqma,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=747
BET UZZI'EL,"Beit Uziel, Israel",31.87005,34.904858,בית עוזיאל,301,בית עוזיאל,4,43,432,30,143,1,635,0.6,0.6,NA,1956,310,2,1911464202,128,426,5220,Bet Uzzi'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=301
BET YANNAY,"Beit Yanai, Israel",32.381729,34.863507,בית ינאי,200,בית ינאי,4,41,411,16,141,1,392,0.4,0.4,NA,1933,310,10,1873769866,16,409,5120,Bet Yannay,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=200
BET YOSEF,"Beit Yosef, Israel",32.558698,35.55277299999999,בית יוסף,265,בית יוסף,2,23,231,7,NA,1,448,0.4,0.4,NA,1937,310,1,2520171838,-228,202,1430,Bet Yosef,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=265
BET ZEID,"Alexander Zeid St, Kiryat Tiv'on, Israel",32.709465,35.124219600000004,בית זיד,353,בית זיד,2,23,235,9,NA,1,82,0.1,0.1,NA,1943,350,NA,2110873410,108,254,1160,Bet Zeid,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=353
BET ZERA,"Beit Zera, Israel",32.689296,35.574062,בית זרע,143,בית זרע,2,22,221,6,NA,1,579,0.6,0.6,NA,1926,330,15,2540573277,-200,214,1240,Bet Zera,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=143
BET ZEVI,"Uri Tsvi Grinberg St, Beit She'an, Israel",32.4888485,35.4891001,בית צבי,212,בית צבי,3,32,321,15,223,1,252,0.3,0.3,NA,1953,340,NA,1974573615,46,303,1181,Bet Zevi,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=212
BEZET,"Betzet, Israel",33.070047,35.132636,בצת,589,בצת,2,24,245,4,NA,1,257,0.2,0.2,NA,1949,310,1,2129677511,29,201,1350,Bezet,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=589
BIRIYYA,"Birya, Israel",32.978108,35.503096,בירייה,368,בירייה,2,21,212,2,NA,1,820,0.8,0.8,NA,1945,350,NA,2471076480,812,209,1230,Biriyya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=368
BITAN AHARON,"Bitan Aharon, Israel",32.364928,34.86956,ביתן אהרן,252,ביתן אהרן,4,41,411,16,141,1,377,0.4,0.4,NA,1936,310,10,1879969687,26,409,5120,Bitan Aharon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=252
BITHA,"Bitha, Israel",31.333869,34.634318,בטחה,762,בטחה,6,62,622,42,344,1,752,0.8,0.7,NA,1950,310,1,1650258264,120,651,3430,Bitha,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=762
BNE DEQALIM,"Bnei Dkalim, Israel",31.517188,34.917033000000004,בני דקלים,1368,בני דקלים,6,61,612,50,NA,1,771,0.8,0.8,NA,2009,370,11,1921860287,388,634,3820,Bne Dkalim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1368
BNE NETSARIM,"Bnei Netsarim, Israel",31.14103399999999,34.318742,בני נצרים,1363,בני נצרים,6,62,622,38,NA,1,610,0.6,0.6,NA,2010,310,11,1346156141,99,651,3430,Bne Netsarim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1363
BRUKHIN,Bruchin,32.082231,35.094113,ברוכין,3744,ברוכין,7,73,NA,72,NA,1,818,0.8,0.8,NA,2012,370,2,2083266528,391,710,4164,Brukhin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3744
DAFNA,"Dafna, Israel",33.23075,35.638268,דפנה,302,דפנה,2,21,211,1,NA,1,936,0.9,0.9,NA,1939,330,15,2599179280,141,253,1210,Dafna,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=302
DAHI,"Ed Dahi, Israel",32.622491,35.343604,דחי,475,דחי,2,23,234,66,NA,2,648,NA,NA,0.6,NA,450,NA,2325872519,415,251,1420,Dahi,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=475
DALIYYA,"Dalia, Israel",32.58925,35.076965,דלייה,300,דלייה,2,23,236,13,NA,1,806,0.8,0.7,NA,1939,330,15,2072972171,204,254,1420,Daliyya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=300
DALTON,"Dalton, Israel",33.016553,35.489911,דלתון,431,דלתון,2,21,212,2,NA,1,868,0.9,0.9,NA,1950,310,2,2460576912,809,209,1230,Dalton,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=431
DAN,"Dan, Israel",33.239637,35.653953,דן,303,דן,2,21,211,1,NA,1,705,0.7,0.7,NA,1939,330,15,2613179391,175,253,1210,Dan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=303
DAVERAT,NA,NA,NA,דברת,407,דברת,2,23,234,9,NA,1,423,0.4,0.4,NA,1946,330,15,2330572807,174,254,1420,Daverat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=407
DEGANYA ALEF,"Degania Alef, Israel",32.706938,35.575062,דגניה א',62,דגניה א',2,22,221,6,NA,1,752,0.6,0.6,NA,1909,330,15,2541573488,-200,214,1240,Deganya Alef,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=62
DEGANYA BET,"Degania Bet, Israel",32.69907,35.577551,דגניה ב',79,דגניה ב',2,22,221,6,NA,1,650,0.7,0.6,NA,1920,330,15,2542173403,-198,214,1240,Deganya Bet,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=79
DEIR RAFAT,"Deir Rafat, Israel",31.77652999999999,34.947439,דייר ראפאת,493,דייר ראפאת,1,11,112,26,444,2,91,NA,NA,0.1,NA,440,NA,1950863156,248,151,7004,Deir Rafat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=493
DEMEIDE,"Dmeide, Israel",32.8149647,35.2265642,דמיידה,1317,דמיידה,2,24,241,56,241,2,474,NA,NA,0.5,NA,450,NA,2216374673,204,205,1360,Demeide,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1317
DEQEL,"Dekel, Israel",31.195908,34.346771,דקל,1241,דקל,6,62,622,38,NA,1,310,0.3,0.3,NA,1982,310,10,1377356740,103,651,3430,Deqel,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1241
DEVIRA,"Dvir, Israel",31.411699,34.825177,דבירה,849,דבירה,6,62,623,41,341,1,848,0.8,0.8,NA,1951,330,15,1833659122,309,625,3481,Devira,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=849
DEVORA,"Devora Omer St, Rishon LeTsiyon, Israel",31.9830738,34.8072822,דבורה,146,דבורה,2,23,234,8,NA,1,222,0.2,0.2,NA,1956,310,1,2250571762,69,204,1420,Devora,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=146
DISHON,"Dishon, Israel",33.082318,35.517572,דישון,2063,דישון,2,21,212,55,NA,1,352,0.4,0.3,NA,1953,310,6,2488277637,442,253,1210,Dishon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2063
DOR,"Dor, Israel",32.607802,34.923316,דור,738,דור,3,32,321,15,243,1,410,0.4,0.4,NA,1949,310,1,1928472374,4,303,1181,Dor,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=738
DOROT,"Dorot, Israel",31.507207,34.645725,דורות,336,דורות,6,61,614,37,NA,1,797,0.8,0.8,NA,1941,330,15,1663560173,106,651,3840,Dorot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=336
DOVEV,"Dovev, Israel",33.0508,35.407747,"דוב""ב",1067,"דוב""ב",2,21,212,2,NA,1,475,0.5,0.5,NA,1963,310,1,2383977297,768,209,1230,Dovev,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1067
EIN AL-ASAD,"Ein al-Asad, Israel",32.940754,35.401027,עין אל-אסד,546,עין אל-אסד,2,24,243,2,NA,2,866,NA,NA,0.9,NA,450,NA,2376876064,535,209,1310,Ein Al-Asad,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=546
EIN HOD,"Ein Hod, Israel",32.700292,34.982716,עין חוד,1320,עין חוד,3,32,322,15,243,2,277,NA,NA,0.3,NA,450,NA,2002573302,236,303,1181,Ein Hod,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1320
EL-ROM,El-Rum,33.180519,35.770095,אל -רום,4003,אל -רום,2,29,292,71,NA,1,372,0.4,0.4,NA,1971,330,15,2723278733,1049,219,1270,El-Rom,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4003
ELI-AD,NA,NA,NA,אלי-עד,4002,אלי-עד,2,29,294,71,NA,1,382,0.4,0.4,NA,1968,310,1,2691974579,368,219,1270,Eli-Ad,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4002
ELIAV,"Eliav, Israel",31.530203,34.928414,אליאב,1365,אליאב,6,61,612,50,NA,1,298,0.3,0.3,NA,2013,370,NA,1935760416,363,634,3820,Eliav,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1365
ELIFAZ,"Elifaz, Israel",29.79624799999999,35.012094,אליפז,1248,אליפז,6,62,625,53,NA,1,152,0.1,0.1,NA,1982,330,15,2009541196,77,608,3460,Elifaz,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1248
ELIFELET,"Elifelet, Israel",32.947834,35.548516,אליפלט,730,אליפלט,2,21,213,55,NA,1,614,0.6,0.6,NA,1949,310,1,2515276148,333,253,1220,Elifelet,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=730
ELON,"201 Lyons Ave, Newark, NJ 07112, USA",40.710114,-74.213679,אילון,294,אילון,2,24,244,4,NA,1,956,1,0.9,NA,1938,330,15,2207077423,293,201,1350,Elon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=294
ELOT,"Eilot, Israel",29.580548,34.963023,אילות,1126,אילות,6,62,625,53,NA,1,319,0.3,0.3,NA,1962,330,15,1960738816,73,608,3460,Elot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1126
ELQOSH,"Elkosh, Israel",33.034294,35.326348,אלקוש,603,אלקוש,2,24,244,52,NA,1,309,0.3,0.3,NA,1949,310,1,2306077091,637,255,1320,Elqosh,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=603
ELYAQIM,"Eliakim, Israel",32.633345,35.067613,אליקים,682,אליקים,2,23,236,13,NA,1,882,0.9,0.9,NA,1949,310,1,2065872642,229,254,1420,Elyaqim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=682
ELYASHIV,"Elyashiv, Israel",32.380196,34.909945,אלישיב,204,אלישיב,4,41,411,16,141,1,730,0.7,0.7,NA,1933,310,7,1917069855,16,409,5120,Elyashiv,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=204
EMUNIM,"Emunim, Israel",31.743885,34.674492,אמונים,772,אמונים,6,61,611,33,143,1,938,0.9,0.9,NA,1950,310,1,1694062801,31,616,3830,Emunim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=772
EN GEDI,"Ein Gedi Reserve, Ein Gedi, Israel",31.4664,35.387983,עין גדי,2042,עין גדי,6,62,624,51,NA,1,588,0.6,0.5,NA,1953,330,15,2365959562,-304,656,3480,En Gedi,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2042
EN GEV,Ein Gev,32.783393,35.640119,עין גב,273,עין גב,2,22,221,6,NA,1,643,0.6,0.6,NA,1937,330,15,2601774320,-201,214,1240,En Gev,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=273
EN HAEMEQ,"Ein HaEmek, Israel",32.629664,35.082246,עין העמק,367,עין העמק,2,23,236,13,NA,1,771,0.8,0.8,NA,1944,350,NA,2082272605,240,254,1420,En HaEmeq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=367
EN HAHORESH,"Ein HaHoresh, Israel",32.385871,34.939994,עין החורש,167,עין החורש,4,41,411,16,141,1,782,0.8,0.8,NA,1931,330,15,1945469912,21,409,5120,En HaHoresh,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=167
EN HANAZIV,"Ein HaNatziv, Israel",32.47071,35.501973,"עין הנצי""ב",383,"עין הנצי""ב",2,23,231,7,NA,1,618,0.6,0.6,NA,1946,330,3,2473870851,-146,202,1430,En HaNaziv,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=383
EN HAROD (IHUD),"Ein Harod, Israel",32.563099,35.391666,עין חרוד (איחוד),89,עין חרוד (איחוד),2,23,232,8,NA,1,534,0.5,0.5,NA,1921,330,15,2369971883,42,204,1420,En Harod (Ihud),http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=89
EN HAROD(ME'UHAD),"Ein Harod, Israel",32.556806,35.392995,עין חרוד (מאוחד),82,עין חרוד (מאוחד),2,23,232,8,NA,1,739,0.7,0.7,NA,1921,330,15,2370271825,-9,204,1420,En Harod(Me'uhad),http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=82
EN HASHELOSHA,NA,NA,NA,עין השלושה,676,עין השלושה,6,62,622,38,NA,1,399,0.4,0.4,NA,1950,330,6,1430658468,100,651,3430,En HaShelosha,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=676
EN HASHOFET,"Ein HaShofet, Israel",32.596811,35.100445,עין השופט,270,עין השופט,2,23,236,13,NA,1,836,0.8,0.7,NA,1937,330,15,2096872240,262,254,1420,En HaShofet,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=270
EN HOD,"Ein Hod, Israel",32.700292,34.982716,עין הוד,74,עין הוד,3,32,322,15,243,1,607,0.6,0.6,NA,1954,370,19,1987073396,131,303,1181,En Hod,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=74
EN IRON,"Ein Iron, Israel",32.484427,35.010069,עין עירון,223,עין עירון,3,32,324,14,NA,1,571,0.6,0.6,NA,1934,310,1,2011670996,61,351,1180,En Iron,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=223
EN KAREM-B.S.HAQLA'I,"Ze'ev Khaklai St, Jerusalem, Israel",31.77256749999999,35.1846719,"עין כרם-בי""ס חקלאי",1056,"עין כרם-בי""ס חקלאי",1,11,111,26,444,1,196,0.2,0.2,NA,1952,340,NA,2145863172,574,151,6130,En Karem-B.S.Haqla'i,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1056
EN KARMEL,NA,NA,NA,עין כרמל,426,עין כרמל,3,32,321,15,243,1,896,0.9,0.9,NA,1947,330,15,1958973142,22,303,1181,En Karmel,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=426
EN SHEMER,"Ein Shemer, Israel",32.461917,35.00673,עין שמר,139,עין שמר,3,32,324,14,NA,1,559,0.6,0.5,NA,1927,330,15,2009170774,43,351,1180,En Shemer,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=139
EN TAMAR,"Ein Tamar, Israel",30.943594,35.37407,עין תמר,1251,עין תמר,6,62,624,51,NA,1,190,0.2,0.2,NA,1982,310,10,2345153915,-302,656,3480,En Tamar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1251
EN YAHAV,"Ein Yahav, Israel",30.658757,35.239656,עין יהב,806,עין יהב,6,62,625,54,NA,1,679,0.7,0.7,NA,1951,310,1,2226850755,-75,657,3450,En Yahav,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=806
EN ZIWAN,`En Ziwan,32.5958333,35.5377778,עין זיוון,4503,עין זיוון,2,29,292,71,NA,1,296,0.3,0.3,NA,1968,330,15,2746877807,961,219,1270,En Ziwan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4503
EN ZURIM,"Ein Tzurim, Israel",31.694936,34.718683,עין צורים,622,עין צורים,6,61,611,34,NA,1,797,0.8,0.8,NA,1949,330,3,1735162270,52,631,3830,En Zurim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=622
ENAT,"Einat, Israel",32.081948,34.937514,עינת,871,עינת,4,42,422,20,142,1,779,0.8,0.8,NA,1925,330,15,1943566554,50,417,5160,Enat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=871
ENAV,Einav,32.283594,35.125198,ענב,3712,ענב,7,73,NA,72,NA,1,749,0.7,0.7,NA,1981,370,11,2121068786,300,710,4164,Enav,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3712
EREZ,"Erez, Israel",31.55984,34.564889,ארז,714,ארז,6,61,614,37,NA,1,478,0.5,0.5,NA,1949,330,15,1588860773,41,651,3840,Erez,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=714
ESHBAL,"Eshbal, Israel",32.876984,35.30601,אשבל,1276,אשבל,2,24,241,56,241,1,104,0.1,0.1,NA,1979,330,10,2288975354,270,205,1360,Eshbal,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1276
ESHBOL,"Eshbol, Israel",31.44551599999999,34.666654,אשבול,71,אשבול,6,62,621,42,NA,1,527,0.5,0.5,NA,1955,310,1,1683959504,167,651,3482,Eshbol,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=71
ESHEL HANASI,"Eshel HaNasi, Israel",31.326828,34.697497,אשל הנשיא,2021,אשל הנשיא,6,62,622,42,344,1,335,0.3,0.3,NA,1952,340,NA,1711958167,192,651,3430,Eshel HaNasi,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2021
ESHHAR,"Eshhar, Israel",32.885084,35.299622,אשחר,1188,אשחר,2,24,241,56,241,1,879,0.9,0.9,NA,1986,370,13,2284175455,363,205,1360,Eshhar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1188
ESHKOLOT,Eshkolot,31.391171,34.904856,אשכולות,3722,אשכולות,7,77,NA,78,NA,1,515,0.5,0.5,NA,1982,370,11,1909758883,589,715,4352,Eshkolot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3722
ETAN,"Eitan, Israel",31.572213,34.747909,איתן,37,איתן,6,61,612,34,NA,1,442,0.4,0.4,NA,1955,310,2,1761460898,156,631,3820,Etan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=37
ETANIM,"Haifa, Israel",32.803326,34.975774,איתנים,886,איתנים,1,11,111,26,444,1,72,0.1,0.1,NA,1952,340,NA,2091163181,765,151,7004,Etanim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=886
EVEN MENAHEM,"Even Menachem, Israel",33.075143,35.295219,אבן מנחם,1081,אבן מנחם,2,24,244,52,NA,1,270,0.3,0.3,NA,1960,310,1,2278277545,605,255,1350,Even Menahem,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1081
EVEN SAPPIR,NA,NA,NA,אבן ספיר,783,אבן ספיר,1,11,111,26,444,1,730,0.7,0.7,NA,1950,310,1,2128463002,615,151,6130,Even Sappir,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=783
EVRON,"Evron, Israel",32.991149,35.100031,עברון,376,עברון,2,24,245,4,241,1,774,0.8,0.7,NA,1945,330,15,2097076629,26,201,1350,Evron,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=376
EYAL,"Eyal, Israel",32.210711,34.978259,אייל,716,אייל,4,42,421,20,141,1,485,0.5,0.5,NA,1949,330,15,1982167981,76,417,5150,Eyal,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=716
EZER,"Ezer, Israel",31.736151,34.671447,עזר,1149,עזר,6,61,611,33,143,1,831,0.8,0.8,NA,1966,350,NA,1689262725,32,616,3830,Ezer,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1149
EZUZ,"Ezuz, Israel",30.792202,34.472404,עזוז,328,עזוז,6,62,626,48,NA,1,76,0.1,0.1,NA,1984,370,19,1494252264,331,620,3450,Ezuz,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=328
GA'ASH,"Ga'ash, Israel",32.228477,34.824411,געש,842,געש,4,41,411,19,141,1,700,0.7,0.7,NA,1951,330,15,1836568180,29,401,5120,Ga'ash,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=842
GA'TON,"Ga'aton, Israel",33.006075,35.213831,געתון,463,געתון,2,24,243,4,NA,1,587,0.6,0.6,NA,1948,330,15,2204176793,343,201,1350,Ga'ton,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=463
GADISH,"Gadish, Israel",32.558844,35.24443,גדיש,145,גדיש,2,23,234,8,NA,1,402,0.4,0.4,NA,1956,310,1,2232471829,66,204,1420,Gadish,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=145
GADOT,Gadot,33.018208,35.619547,גדות,35,גדות,2,21,213,1,NA,1,407,0.4,0.4,NA,1949,330,15,2582276940,115,253,1220,Gadot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=35
GAL'ED (EVEN YIZHAQ),"Gal'ed, Israel",32.558075,35.076559,גלעד (אבן יצחק),369,גלעד (אבן יצחק),2,23,236,13,NA,1,477,0.5,0.5,NA,1945,330,15,2074471810,185,254,1420,Gal'ed (Even Yizhaq),http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=369
GAL'ON,"Gal On, Israel",31.63337099999999,34.848898,גלאון,393,גלאון,6,61,611,35,NA,1,382,0.4,0.4,NA,1946,330,15,1856261577,199,632,3820,Gal'on,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=393
GAN HADAROM,"Gan HaDarom, Israel",31.804056,34.69987,גן הדרום,1072,גן הדרום,4,44,441,32,143,1,577,0.6,0.6,NA,1953,310,10,1717663474,39,456,3830,Gan HaDarom,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1072
GAN HASHOMERON,"Gan HaShomron, Israel",32.465007,34.999047,גן השומרון,225,גן השומרון,3,32,324,14,NA,1,820,0.8,0.8,NA,1934,310,10,2000870763,44,351,1180,Gan HaShomeron,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=225
GAN HAYYIM,"Gan Haim, Israel",32.195761,34.906957,גן חיים,239,גן חיים,4,42,421,20,141,1,815,0.8,0.8,NA,1935,310,1,1912967798,60,417,5140,Gan Hayyim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=239
GAN SHELOMO,"Kvutzat Shiller, Israel",31.878777,34.798901,גן שלמה,144,גן שלמה,4,44,441,28,143,1,539,0.5,0.5,NA,1927,330,15,1810664288,45,456,5230,Gan Shelomo,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=144
GAN SHEMU'EL,"HaGan St, Kfar Warburg, Israel",31.7184073,34.7292776,גן שמואל,72,גן שמואל,3,32,324,14,NA,1,883,0.9,0.9,NA,1913,330,15,1955370657,26,351,1180,Gan Shemu'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=72
GAN SOREQ,"Gan Sorek, Israel",31.944011,34.758322,גן שורק,311,גן שורק,4,44,442,27,143,1,697,0.7,0.7,NA,1950,310,1,1775365029,37,456,5210,Gan Soreq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=311
GAN YOSHIYYA,"Gan Yoshiya, Israel",32.349487,34.996245,גן יאשיה,734,גן יאשיה,4,41,412,16,141,1,989,1,1,NA,1949,310,1,1996469519,32,409,5120,Gan Yoshiyya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=734
GANNE AM,"Ganei Am, Israel",32.149838,34.903358,גני עם,218,גני עם,4,42,421,20,142,1,255,0.3,0.3,NA,1934,350,NA,1908667313,34,417,5140,Ganne Am,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=218
GANNE HADAR,"Ganei Hadar East, Israel",31.8782413,34.857588,גני הדר,1103,גני הדר,4,43,432,30,143,1,289,0.3,0.3,NA,1958,350,NA,1862764289,89,426,5230,Ganne Hadar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1103
GANNE TAL,"Ganei Tal, Israel",31.788573,34.791392,גני טל,1371,גני טל,4,44,441,31,143,1,743,0.7,0.7,NA,2010,370,2,1804263293,78,456,5230,Ganne Tal,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1371
GANNE YOHANAN,"Yohanan HaSandlar St, Bnei Brak, Israel",32.0733225,34.8426098,גני יוחנן,862,גני יוחנן,4,44,441,30,143,1,632,0.6,0.6,NA,1950,310,1,1848164064,63,426,5230,Ganne Yohanan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=862
GANNOT,"Ganot, Israel",32.018204,34.825877,גנות,836,גנות,4,43,432,40,133,1,614,0.6,0.6,NA,1953,310,10,1839465836,27,425,5210,Gannot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=836
GANNOT HADAR,"Ganot Hadar, Israel",32.32174,34.900715,גנות הדר,549,גנות הדר,4,41,411,18,141,1,935,0.9,0.9,NA,1964,350,NA,1908469191,49,412,5120,Gannot Hadar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=549
GAT RIMMON,"Gat Rimon, Israel",32.068105,34.881362,גת רימון,128,גת רימון,4,42,422,20,132,1,295,0.3,0.3,NA,1926,350,NA,1888266395,67,417,5130,Gat Rimmon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=128
GAT(QIBBUZ),"Kiryat Gat, Israel",31.611148,34.768459,גת (קיבוץ),340,גת (קיבוץ),6,61,611,35,NA,1,752,0.8,0.7,NA,1941,330,15,1805861511,137,632,3820,Gat(Qibbuz),http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=340
GAZIT,"Gazit, Israel",32.639307,35.446239,גזית,457,גזית,2,23,233,9,NA,1,674,0.7,0.6,NA,1948,330,15,2422272714,129,254,1420,Gazit,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=457
GE'A,"Ge'a, Israel",31.628467,34.602678,גיאה,706,גיאה,6,61,614,36,NA,1,948,0.9,0.9,NA,1949,310,1,1624261519,54,633,3840,Ge'a,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=706
