transcript,formatted.address,lat.coord,lon.coord,place,sign,place_name,district,nafa,natural_area_class,municipla_class,metropolitan_class,religion,total_population,jews and others,jews,arabs,est_year,settlement_method,organizational_association,coordinates,hight,planning_commetee,police,transcript_pub,שדה לקישור
EL'AD,"El'ad, Israel",32.04953,34.95075,אלעד,1309,אלעד,4,42,422,0,142,1,45854,45.9,45.8,NA,1998,160,NA,1960566200,122,422,5160,El'ad,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1309
EL'AZAR,"Elazar, Gush Etzion",31.659676,35.143074,אלעזר,3618,אלעזר,7,76,NA,76,445,1,2568,2.6,2.6,NA,1975,190,NA,2134361878,919,714,4352,El'azar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3618
ELAT,"Eilat, Israel",29.557669,34.951925,אילת,2600,אילת,6,62,625,0,NA,1,50072,47.9,41.2,NA,1951,150,NA,1942338515,164,602,3460,Elat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2600
ELI,"Eli St, Tira, Israel",32.2285265,34.9551986,עלי,3765,עלי,7,72,NA,73,NA,1,4233,4.2,4.2,NA,1984,190,NA,2253466438,686,711,4354,Eli,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3765
ELISHAMA,"Elishama, Israel",32.154778,34.930461,אלישמע,841,אלישמע,4,42,421,20,142,1,1206,1.2,1.2,NA,1951,310,1,1934267328,27,417,5140,Elishama,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=841
ELON MORE,Elon Moreh,32.234418,35.331201,אלון מורה,3579,אלון מורה,7,72,NA,72,NA,1,1861,1.9,1.9,NA,1979,370,11,2317568212,661,710,4164,Elon More,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3579
ELQANA,Elkana,32.110566,35.032054,אלקנה,3560,אלקנה,7,73,NA,99,145,1,3898,3.9,3.9,NA,1977,190,NA,2035666833,228,702,4164,Elqana,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3560
ELYAKHIN,"Elyakhin, Israel",32.407659,34.925028,אליכין,41,אליכין,4,41,411,99,141,1,3417,3.4,3.4,NA,1950,190,NA,1931870157,31,457,1180,Elyakhin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=41
EN AYYALA,"Ein Ayala, Israel",32.629963,34.944296,עין איילה,687,עין איילה,3,32,321,15,243,1,1151,1.2,1.1,NA,1949,310,1,1952372612,18,303,1181,En Ayyala,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=687
EN DOR,"Ein Dor, Israel",32.655468,35.416388,עין דור,436,עין דור,2,23,233,9,NA,1,1021,1,1,NA,1948,330,15,2393572912,124,254,1420,En Dor,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=436
EN HABESOR,"Ein HaBesor, Israel",31.280895,34.443446,עין הבשור,1240,עין הבשור,6,62,622,38,NA,1,1179,1.2,1.1,NA,1982,310,1,1468957689,120,651,3430,En HaBesor,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1240
EN HAMIFRAZ,"Ein HaMifratz, Israel",32.902581,35.09303999999999,עין המפרץ,289,עין המפרץ,2,24,246,4,241,1,1223,1.2,1.2,NA,1938,330,15,2093675650,2,201,1330,En HaMifraz,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=289
EN SARID,"Ein Sarid, Israel",32.274901,34.93418,עין שריד,880,עין שריד,4,41,411,18,141,1,1620,1.6,1.6,NA,1950,350,NA,1941268670,63,412,5120,En Sarid,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=880
EN WERED,"Ein Vered, Israel",32.264467,34.930705,עין ורד,157,עין ורד,4,41,411,18,141,1,1480,1.5,1.5,NA,1930,310,1,1937868568,63,412,5120,En Wered,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=157
EN YA'AQOV,"Derech Aharon 2, Zihron Ya'akov, Israel",32.562768,34.956971,עין יעקב,813,עין יעקב,2,24,243,52,NA,1,1023,1,1,NA,1950,310,1,2217976826,419,255,1320,En Ya'aqov,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=813
ESHTA'OL,"Eshtaol, Israel",31.780385,35.010102,אשתאול,740,אשתאול,1,11,112,26,444,1,1233,1.2,1.2,NA,1949,310,1,2009563206,282,151,7004,Eshta'ol,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=740
EVEN SHEMU'EL,"Even Shmuel, Israel",31.576429,34.762963,אבן שמואל,400,אבן שמואל,6,61,612,34,NA,1,1749,1.7,1.7,NA,1956,350,NA,1775460940,155,631,3820,Even Shemu'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=400
EVEN YEHUDA,"Even Yehuda, Israel",32.276648,34.885087,אבן יהודה,182,אבן יהודה,4,41,411,99,141,1,13542,13.5,13.3,NA,1932,170,NA,1894568642,36,457,5120,Even Yehuda,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=182
EZ EFRAYIM,Ets Efraim,32.119403,35.046367,עץ אפרים,3778,עץ אפרים,7,73,NA,72,145,1,2022,2,2,NA,1985,190,NA,2045466960,203,710,4164,Ez Efrayim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3778
FASSUTA,"Fassuta, Israel",33.04782,35.308827,פסוטה,535,פסוטה,2,24,244,99,NA,2,3055,NA,NA,3,NA,290,NA,2292977259,567,258,1320,Fassuta,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=535
FUREIDIS,"Fureidis, Israel",32.597351,34.951899,פוריידיס,537,פוריידיס,3,32,321,99,NA,2,12608,NA,NA,12.6,NA,270,NA,1958172264,50,353,1181,Fureidis,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=537
GAN NER,"Gan Ner, Israel",32.528706,35.336254,גן נר,1274,גן נר,2,23,232,8,NA,1,2677,2.7,2.6,NA,1987,190,NA,2319971531,159,204,1420,Gan Ner,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1274
GAN YAVNE,"Gan Yavne, Israel",31.783056,34.703101,גן יבנה,166,גן יבנה,4,44,441,99,143,1,23097,23,22.3,NA,1931,160,NA,1724763297,39,453,3830,Gan Yavne,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=166
GANNE MODI'IN,"Modi'in St, Kiryat Ono, Israel",32.0620304,34.8481993,גני מודיעין,3823,גני מודיעין,7,74,NA,73,NA,1,2411,2.4,2.4,NA,1996,190,NA,2018064847,NA,711,4354,Ganne Modi'in,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3823
GANNE TIQWA,"Ganei Tikva, Israel",32.060497,34.873121,גני תקווה,229,גני תקווה,4,42,422,99,132,1,17311,17.3,17.1,NA,1953,170,NA,1883766300,74,455,2370,Ganne Tiqwa,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=229
GEDERA,"Gedera, Israel",31.8123014,34.77701920000001,גדרה,2550,גדרה,4,44,441,99,143,1,27046,26.9,26.4,NA,1884,160,NA,1792763567,57,453,5230,Gedera,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2550
GESHER HAZIW,"Gesher HaZiv, Israel",33.040532,35.110563,גשר הזיו,574,גשר הזיו,2,24,245,4,241,1,1616,1.6,1.6,NA,1949,330,15,2108077155,20,201,1350,Gesher HaZiw,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=574
GEVA  KARMEL,"Geva Carmel, Israel",32.662163,34.954078,גבע כרמל,683,גבע כרמל,3,32,321,15,243,1,1182,1.2,1.2,NA,1949,310,1,1960272983,22,303,1181,Geva  Karmel,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=683
GEVA BINYAMIN,Geva Binyamin,31.849999,35.273853,גבע בנימין,3763,גבע בנימין,7,74,NA,73,445,1,5278,5.3,5.1,NA,1984,180,NA,2259863962,638,711,4354,Geva Binyamin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3763
GHAJAR,Ghajar,33.272607,35.623637,ע'ג'ר,4501,ע'ג'ר,2,29,292,99,NA,2,2517,NA,NA,2.5,NA,290,NA,2586479728,282,256,1210,Ghajar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4501
GILAT,"Gilat, Israel",31.326321,34.648934,גילת,736,גילת,6,62,622,42,344,1,1373,1.4,1.4,NA,1949,310,1,1668758193,136,651,3430,Gilat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=736
GILON,"Gilon, Israel",32.904338,35.232191,גילון,1204,גילון,2,24,242,56,241,1,1048,1,1,NA,1980,370,9,2224775646,302,205,1310,Gilon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1204
GIMZO,"Gimzo, Israel",31.927217,34.941128,גמזו,745,גמזו,4,43,431,25,142,1,1156,1.2,1.2,NA,1950,310,8,1945464834,105,424,5280,Gimzo,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=745
GIV'AT AVNI,"Giv'at Avni, Israel",32.775382,35.436154,גבעת אבני,1293,גבעת אבני,2,22,222,3,NA,1,2041,2,2,NA,1991,190,NA,2414274234,282,206,1240,Giv'at Avni,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1293
GIV'AT BRENNER,"Givat Brenner, Israel",31.86661,34.802254,גבעת ברנר,147,גבעת ברנר,4,44,441,28,143,1,2680,2.7,2.6,NA,1928,193,NA,1813164156,59,456,5230,Giv'at Brenner,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=147
GIV'AT ELA,"Givat Ela, Israel",32.722007,35.244822,גבעת אלה,1288,גבעת אלה,2,23,237,9,NA,1,1970,2,2,NA,1988,370,13,2232373635,262,254,1440,Giv'at Ela,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1288
GIV'AT HAYYIM (IHUD),"Givat Haim, Israel",32.396745,34.932978,גבעת חיים (איחוד),2018,גבעת חיים (איחוד),4,41,411,16,141,1,1064,1.1,1,NA,1932,330,15,1938570064,22,409,5120,Giv'at Hayyim (Ihud),http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2018
GIV'AT SHEMU'EL,"Giv'at Shmuel, Israel",32.077299,34.849206,גבעת שמואל,681,גבעת שמואל,4,42,422,0,132,1,25544,25.5,25.2,NA,1942,160,NA,1860066489,48,427,2370,Giv'at Shemu'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=681
GIV'AT YE'ARIM,"Giv'at Ye'arim, Israel",31.786089,35.09277,גבעת יערים,787,גבעת יערים,1,11,111,26,444,1,1465,1.5,1.4,NA,1950,310,1,2088063269,694,151,7004,Giv'at Ye'arim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=787
GIV'AT ZE'EV,Giv'at Ze'ev,31.861189,35.167252,גבעת זאב,3730,גבעת זאב,7,74,NA,99,445,1,16865,16.8,16.7,NA,1983,170,NA,2160164047,731,705,6180,Giv'at Ze'ev,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3730
GIV'ATAYIM,"Giv'atayim, Israel",32.072176,34.808871,גבעתיים,6300,גבעתיים,5,52,512,0,122,1,58508,58.5,56.7,NA,1922,150,NA,1822066430,42,503,2314,Giv'atayim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=6300
GIV'ON HAHADASHA,Giv'on HaHadasha,31.848896,35.159029,גבעון החדשה,3644,גבעון החדשה,7,74,NA,73,445,1,1135,1.1,1,NA,1980,370,11,2150963947,795,711,6180,Giv'on HaHadasha,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3644
HADERA,"Hadera, Israel",32.4340458,34.9196518,חדרה,6500,חדרה,3,32,324,0,NA,1,91707,90.9,84.9,NA,1890,150,NA,1925670466,19,302,1180,Hadera,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=6500
HAGOR,"Hagor, Israel",32.138591,34.947614,חגור,717,חגור,4,42,421,20,142,1,1158,1.2,1.1,NA,1949,310,1,1951667158,34,417,5150,Hagor,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=717
HAIFA,"Haifa, Israel",32.7940463,34.989571,חיפה,4e3,חיפה,3,31,311,0,210,4,279591,248.4,218.2,31.2,ותיק,130,NA,2011274546,98,304,1140,Haifa,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4000
HALLAMISH,Halamish,32.008313,35.128876,חלמיש,3573,חלמיש,7,74,NA,73,145,1,1328,1.3,1.3,NA,1977,370,11,2120165696,559,711,4354,Hallamish,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3573
HAMAM,"Hamaam, Israel",32.828399,35.491721,חמאם,993,חמאם,2,22,221,65,NA,2,1430,NA,NA,1.4,NA,450,NA,2461874838,-99,251,1240,Hamam,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=993
HAR ADAR,Har Adar,31.824501,35.12966,הר אדר,3769,הר אדר,7,74,NA,99,445,1,3980,4,3.9,NA,1986,190,NA,2123263708,825,720,6129,Har Adar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3769
HAR GILLO,Har Gillo,31.722058,35.171491,הר גילה,3603,הר גילה,7,76,NA,76,445,1,1570,1.5,1.5,NA,1972,370,19,2164062544,917,714,6130,Har Gillo,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3603
HARDUF,"Harduf, Israel",32.763717,35.174663,הרדוף,1249,הרדוף,2,23,237,9,242,1,1110,1.1,1,NA,1982,330,15,2163874111,172,254,1340,Harduf,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1249
HARISH,"Harish, Israel, Israel",32.4618771,35.0455828,חריש,1247,חריש,3,32,323,99,NA,1,1376,1.3,1.3,NA,1982,350,NA,2047870720,115,307,1450,Harish,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1247
HASHMONA'IM,Hashmona'im,31.93263099999999,35.023269,חשמונאים,3770,חשמונאים,7,74,NA,73,NA,1,2826,2.8,2.8,NA,1985,190,NA,2023664872,252,711,4354,Hashmona'im,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3770
HASPIN,Haspin,32.8456305,35.7929907,חספין,4005,חספין,2,29,294,71,NA,1,1877,1.9,1.9,NA,1973,370,NA,2746275023,419,219,1270,Haspin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4005
HAZAV,"Hatsav, Israel",31.780095,34.770572,חצב,700,חצב,6,61,611,33,143,1,1447,1.4,1.4,NA,1949,310,1,1782863213,64,616,3830,Hazav,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=700
HAZOR HAGELILIT,"Hatzor HaGlilit, Israel",32.980382,35.543548,חצור הגלילית,2034,חצור הגלילית,2,21,213,99,NA,1,9004,9,8.8,NA,1953,180,NA,2511576527,438,259,1220,Hazor HaGelilit,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2034
HEMED,"Hemed, Israel",32.017992,34.841265,חמד,801,חמד,4,43,432,40,133,1,1173,1.2,1.2,NA,1950,310,2,1851165842,26,425,5210,Hemed,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=801
HERUT,"Herut, Israel",32.240973,34.914127,חירות,162,חירות,4,41,411,18,141,1,1261,1.3,1.2,NA,1930,310,1,1921668301,60,412,5120,Herut,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=162
HERZLIYYA,"Herzliya, Israel",32.162413,34.844675,הרצלייה,6400,הרצלייה,5,51,511,0,121,1,93116,93,89,NA,1924,150,NA,1845467522,39,504,2360,Herzliyya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=6400
HINNANIT,Hinanit,32.480891,35.173181,חיננית,3643,חיננית,7,71,NA,72,NA,1,1164,1.2,1,NA,1981,370,13,2160870967,392,710,4164,Hinnanit,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3643
HOD HASHARON,"Hod Hasharon, Israel",32.149961,34.8838788,הוד השרון,9700,הוד השרון,4,42,421,0,131,1,58914,58.9,57.7,NA,1924,150,NA,1901667325,37,423,5140,Hod HaSharon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=9700
HOLON,"Holon, Israel",32.015833,34.787384,חולון,6600,חולון,5,53,513,0,123,1,190838,190.6,176.6,NA,1940,140,NA,1792765826,34,505,2200,Holon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=6600
HOSEN,"Hosen, Israel",32.997699,35.298723,חוסן,662,חוסן,2,24,243,52,NA,1,1086,1.1,1.1,NA,1949,310,9,2281476697,475,255,1320,Hosen,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=662
HOSHA'AYA,"Hoshaya, Israel",32.757927,35.29522499999999,הושעיה,1186,הושעיה,2,23,237,9,NA,1,1940,1.9,1.9,NA,1981,370,2,2276574043,224,254,1410,Hosha'aya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1186
HURA,"Hura, Israel",31.300399,34.935688,חורה,1303,חורה,6,62,623,99,342,2,19981,NA,NA,20,NA,270,NA,1938757841,416,652,3481,Hura,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1303
HURFEISH,"Hurfeish, Israel",33.016688,35.347106,חורפיש,496,חורפיש,2,24,244,99,NA,2,6160,NA,NA,6.2,NA,280,NA,2326776914,670,258,1320,Hurfeish,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=496
I'BILLIN,"I'billin, Israel",32.821799,35.19012,אעבלין,529,אעבלין,2,24,241,99,241,2,12830,NA,NA,12.8,NA,270,NA,2177374794,87,261,1340,I'billin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=529
IBTIN,"Ibtin, Israel",32.759963,35.114601,אבטין,652,אבטין,3,31,311,12,222,2,2748,NA,NA,2.7,NA,290,NA,2108874076,49,301,1160,Ibtin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=652
IKSAL,"Iksal, Israel",32.682085,35.320743,אכסאל,478,אכסאל,2,23,237,99,NA,2,13961,NA,NA,14,NA,270,NA,2307473196,125,257,1420,Iksal,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=478
ILUT,"Ilut, Israel",32.717249,35.261482,עילוט,511,עילוט,2,25,237,99,NA,2,7727,NA,NA,7.7,NA,280,NA,2247873587,274,257,1410,Ilut,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=511
IMMANU'EL,Immanuel,32.160688,35.136036,עמנואל,3660,עמנואל,7,73,NA,99,145,1,3309,3.3,3.3,NA,1983,190,NA,2130867423,362,708,4164,Immanu'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3660
ISIFYA,"Isfiya, Israel",32.720737,35.059087,עספיא,534,עספיא,3,31,311,99,223,2,11942,NA,NA,11.8,NA,270,NA,2063973585,472,356,1140,Isifya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=534
ITAMAR,Itamar,32.173869,35.308029,איתמר,3762,איתמר,7,72,NA,72,NA,1,1151,1.2,1.1,NA,1984,370,11,2291867563,613,710,4164,Itamar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3762
JALJULYE,"Jaljulia, Israel",32.1524568,34.9539749,ג'לג'וליה,627,ג'לג'וליה,4,42,421,99,142,2,9618,NA,NA,9.5,NA,280,NA,1957567326,37,451,5150,Jaljulye,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=627
JATT,"Jat, Israel",32.39693,35.035914,ג'ת,628,ג'ת,3,32,324,99,NA,2,11434,NA,NA,11.4,NA,270,NA,2036670061,57,354,1450,Jatt,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=628
JERUSALEM,"Jerusalem, Israel",31.768319,35.21371,ירושלים,3e3,ירושלים,1,11,111,0,410,4,882652,550.1,536.6,332.6,ותיק,120,NA,NA,715,101,6120,Jerusalem,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3000
JISH(GUSH HALAV),"Jish, Israel",33.021266,35.447949,ג'ש (גוש חלב),487,ג'ש (גוש חלב),2,21,212,99,NA,2,3078,NA,NA,3.1,NA,290,NA,2420276976,745,258,1230,Jish(Gush Halav),http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=487
JISR AZ-ZARQA,"Jisr az-Zarqa, Israel",32.536262,34.911569,ג'סר א-זרקא,541,ג'סר א-זרקא,3,32,324,99,NA,2,14207,NA,NA,14.2,NA,270,NA,1919971586,11,353,1181,Jisr Az-Zarqa,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=541
JUDEIDE-MAKER,"Jadeidi-Makr, Israel",32.928656,35.150573,ג'דיידה-מכר,1292,ג'דיידה-מכר,2,24,246,99,241,2,20257,NA,NA,20.2,NA,260,NA,2140875939,38,252,1330,Judeide-Maker,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1292
JULIS,"Julis, Israel",32.94498,35.184243,ג'ולס,485,ג'ולס,2,24,243,99,NA,2,6209,NA,NA,6.2,NA,280,NA,2175076079,110,252,1330,Julis,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=485
KA'ABIYYE-TABBASH-HAJAJRE,"Ka'abiyye-Tabbash-Hajajre, Israel",32.750389,35.184,כעביה-טבאש-חג'אג'רה,978,כעביה-טבאש-חג'אג'רה,2,25,237,99,242,2,5106,NA,NA,5.1,NA,280,NA,2176973945,163,254,1440,Ka'abiyye-Tabbash-Hajajre,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=978
KABRI,"Kabri, Israel",33.020985,35.147007,כברי,576,כברי,2,24,245,4,NA,1,1031,1,1,NA,1949,330,15,2141876954,96,201,1350,Kabri,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=576
KABUL,"Kabul, Israel",32.8699737,35.2054376,כאבול,504,כאבול,2,24,241,99,241,2,13422,NA,NA,13.4,NA,270,NA,2197475272,74,263,1340,Kabul,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=504
KAFAR BARA,"Kafr Bara, Israel",32.130911,34.970108,כפר ברא,633,כפר ברא,4,42,422,99,142,2,3398,NA,NA,3.4,NA,290,NA,1973967086,111,451,5150,Kafar Bara,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=633
KAFAR KAMA,"Kfar Kama, Israel",32.721105,35.442834,כפר כמא,508,כפר כמא,2,22,222,99,NA,2,3240,NA,NA,3.2,NA,290,NA,2415873637,209,251,1240,Kafar Kama,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=508
KAFAR KANNA,"Kafr Kanna, Israel",32.7481978,35.3438402,כפר כנא,509,כפר כנא,2,25,237,99,NA,2,21547,NA,NA,21.5,NA,260,NA,2323673912,229,257,1410,Kafar Kanna,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=509
KAFAR MANDA,"Kafr Manda, Israel",32.81236,35.258613,כפר מנדא,510,כפר מנדא,2,24,241,99,NA,2,18844,NA,NA,18.8,NA,270,NA,2246874616,179,261,1360,Kafar Manda,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=510
KAFAR MISR,"Kafr Misr, Israel",32.647371,35.42155100000001,כפר מצר,512,כפר מצר,2,25,233,66,NA,2,2634,NA,NA,2.6,NA,290,NA,2398672791,111,251,1420,Kafar Misr,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=512
KAFAR QARA,"Kafr Qara, Israel",32.505518,35.054251,כפר קרע,654,כפר קרע,3,32,323,99,NA,2,17967,NA,NA,17.9,NA,270,NA,2051371242,109,354,1450,Kafar Qara,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=654
KAFAR QASEM,"Kafr Qasim, Israel",32.114093,34.972767,כפר קאסם,634,כפר קאסם,4,42,422,0,142,2,22265,NA,NA,22.2,NA,260,NA,1977566907,81,451,5150,Kafar Qasem,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=634
KAFAR YASIF,"Kafr Yasif, Israel",32.9520318,35.1599957,כפר יאסיף,507,כפר יאסיף,2,24,245,99,NA,2,9700,NA,NA,9.7,NA,280,NA,2156076212,58,252,1330,Kafar Yasif,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=507
KAMANE,"Kamanneh, Israel",32.909311,35.336928,כמאנה,1331,כמאנה,2,24,242,56,NA,2,1429,NA,NA,1.4,NA,450,NA,2331475760,502,205,1310,Kamane,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1331
KAMMON,"Kamon, Israel",32.909119,35.360916,כמון,1201,כמון,2,24,242,56,NA,1,1364,1.4,1.3,NA,1980,370,7,2338975727,561,205,1310,Kammon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1201
KAOKAB ABU AL-HIJA,"Kaukab Abu al-Hija, Israel",32.831888,35.248701,כאוכב אבו אל-היג'א,505,כאוכב אבו אל-היג'א,2,24,241,99,241,2,3387,NA,NA,3.4,NA,290,NA,2235974843,369,261,1360,Kaokab Abu Al-Hija,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=505
KARME YOSEF,"Karmei Yosef, Israel",31.848024,34.921347,כרמי יוסף,1264,כרמי יוסף,4,43,432,30,143,1,1691,1.7,1.7,NA,1984,350,NA,1925663946,222,426,5220,Karme Yosef,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1264
KARME ZUR,"Karm AlJabali St, Tayibe, Israel",32.2623877,35.0059826,כרמי צור,3766,כרמי צור,7,77,NA,76,NA,1,1047,1,1,NA,1984,370,2,2095861294,943,714,4352,Karme Zur,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3766
KARMI'EL,"Karmiel, Israel",32.914671,35.292417,כרמיאל,1139,כרמיאל,2,24,242,0,NA,1,45300,44,37.4,NA,1964,160,NA,2276275741,270,208,1310,Karmi'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1139
KEFAR ADUMMIM,Kfar Adumim,31.827216,35.337189,כפר אדומים,3638,כפר אדומים,7,74,NA,73,445,1,4271,4.3,4.2,NA,1979,190,NA,2327163618,279,711,4355,Kefar Adummim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3638
KEFAR BILU,"Kfar Bilu, Israel",31.870475,34.826734,"כפר ביל""ו",177,"כפר ביל""ו",4,44,441,30,143,1,1300,1.3,1.3,NA,1932,310,1,1836164227,63,426,5230,Kefar Bilu,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=177
KEFAR EZYON,Kfar Ezion,31.649486,35.115234,כפר עציון,3488,כפר עציון,7,76,NA,76,445,1,1099,1.1,1.1,NA,1967,330,3,2109961749,934,714,4352,Kefar Ezyon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3488
KEFAR HABAD,"Kfar Habad, Israel",31.990144,34.849103,"כפר חב""ד",696,"כפר חב""ד",4,43,432,40,133,1,6021,6,6,NA,1949,180,NA,1859965527,40,425,5210,Kefar Habad,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=696
KEFAR HANAGID,"Kfar HaNagid, Israel",31.887134,34.748725,כפר הנגיד,582,כפר הנגיד,4,44,442,27,143,1,1219,1.2,1.2,NA,1949,310,1,1764164394,20,456,5230,Kefar HaNagid,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=582
